date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',949,10,827,14,842,8,1497,2,0,0,0,0
'2016-12-16',1349,5,921,16,842,4,0,0,0,0,0,0
'2016-12-17',810,6,950,16,842,4,1299,1,0,0,0,0
'2016-12-18',820,2,897,4,842,8,0,0,0,0,0,0
'2016-12-19',0,0,847,2,1550,1,1299,1,0,0,0,0
'2016-12-20',830,7,940,15,842,12,1499,1,0,0,0,0
'2016-12-21',1250,9,798,22,842,4,1499,1,0,0,0,0
'2016-12-22',892,5,817,18,842,10,0,0,0,0,0,0
'2016-12-23',1250,10,815,11,842,4,1399,2,0,0,0,0
'2016-12-24',909,7,962,18,973,4,1650,3,0,0,0,0
'2016-12-25',0,0,985,1,0,0,0,0,0,0,0,0
'2016-12-26',0,0,950,1,0,0,0,0,0,0,0,0
