date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',920,63,1085,55,1295,15,1750,4,3950,1,0,0
'2016-12-16',925,74,1085,94,1305,33,1600,11,0,0,0,0
'2016-12-17',920,103,1085,85,1320,17,1725,7,0,0,0,0
'2016-12-19',930,29,1115,16,1414,10,2225,4,0,0,0,0
'2016-12-20',925,88,1070,111,1295,21,1860,6,0,0,0,0
'2016-12-21',920,108,1080,92,1275,22,1725,8,0,0,0,0
'2016-12-22',917,100,1085,101,1325,19,2080,4,0,0,0,0
'2016-12-23',925,116,1075,100,1297,30,1725,5,0,0,0,0
'2016-12-24',930,91,1105,102,1414,10,1902,6,2400,2,0,0
'2016-12-25',930,30,1105,26,1295,3,1709,4,0,0,0,0
'2016-12-26',940,23,1115,13,1223,2,1725,3,0,0,0,0
'2016-12-27',930,28,1075,34,1297,8,2187,2,0,0,0,0
'2016-12-28',930,94,1105,105,1300,29,1752,6,2400,1,0,0
