date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1000,17,1250,22,0,0,1775,1,0,0,0,0
'2016-12-16',1000,11,1267,19,0,0,2295,1,0,0,0,0
'2016-12-17',1000,9,1250,13,1250,1,0,0,0,0,0,0
'2016-12-19',625,1,727,2,0,0,2295,1,0,0,0,0
'2016-12-20',1000,18,1250,13,1250,1,0,0,0,0,0,0
'2016-12-21',979,28,1250,22,1350,2,0,0,0,0,0,0
'2016-12-22',1000,16,1250,10,0,0,0,0,0,0,0,0
'2016-12-23',1000,15,1250,10,2250,1,0,0,0,0,0,0
'2016-12-24',1000,9,1250,11,1450,1,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
