date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,621,3,980,1,1499,1,0,0,0,0
'2016-12-16',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-17',0,0,688,5,0,0,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',0,0,725,3,0,0,1499,1,0,0,0,0
'2016-12-21',0,0,697,2,0,0,1499,1,0,0,0,0
'2016-12-22',0,0,725,1,0,0,0,0,0,0,0,0
'2016-12-23',812,2,925,1,0,0,1499,1,0,0,0,0
'2016-12-24',0,0,610,2,0,0,1599,1,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
