date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',780,1,1054,1,975,1,0,0,1018,1,0,0
'2016-12-16',0,0,1017,2,0,0,0,0,0,0,0,0
'2016-12-17',844,2,955,2,1380,2,0,0,0,0,0,0
'2016-12-19',0,0,939,2,1085,1,0,0,0,0,0,0
'2016-12-20',908,1,964,1,1100,3,1600,1,0,0,0,0
'2016-12-21',916,2,962,2,975,1,1450,1,0,0,0,0
'2016-12-22',838,1,939,1,0,0,0,0,0,0,0,0
'2016-12-23',908,1,939,1,0,0,1600,1,0,0,0,0
'2016-12-24',908,1,939,1,1212,2,1450,1,0,0,0,0
'2016-12-25',0,0,939,1,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,1249,1,0,0,0,0,0,0
'2016-12-27',0,0,0,0,0,0,1450,1,0,0,0,0
'2016-12-28',1005,1,0,0,0,0,0,0,0,0,0,0
'2016-12-29',0,0,999,2,1249,1,0,0,0,0,0,0
'2016-12-30',0,0,1109,3,1018,2,0,0,0,0,0,0
'2016-12-31',899,1,962,3,1322,1,1445,1,0,0,0,0
'2017-01-06',830,1,939,1,1310,1,1562,2,0,0,0,0
'2017-01-07',773,1,939,1,1458,2,0,0,0,0,0,0
'2017-01-08',0,0,996,1,1750,1,1600,1,0,0,0,0
'2017-01-09',0,0,939,1,1975,1,0,0,0,0,0,0
'2017-01-10',825,1,939,1,1452,2,0,0,0,0,0,0
'2017-01-11',828,1,974,1,1322,1,1637,2,0,0,0,0
