date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',905,13,1085,8,1050,7,750,3,0,0,0,0
'2016-12-16',905,4,1085,7,1165,9,0,0,0,0,0,0
'2016-12-17',905,9,1085,9,1195,4,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',905,14,967,12,1097,12,750,6,0,0,0,0
'2016-12-21',905,8,1085,11,1150,7,0,0,0,0,0,0
'2016-12-22',905,11,1085,12,1169,4,0,0,0,0,0,0
'2016-12-23',905,10,1030,14,1195,5,0,0,0,0,0,0
'2016-12-24',905,7,1105,13,1101,4,0,0,0,0,0,0
'2016-12-25',905,3,1105,5,0,0,0,0,0,0,0,0
'2016-12-26',0,0,775,1,0,0,0,0,0,0,0,0
'2016-12-27',0,0,909,2,1212,4,0,0,0,0,0,0
'2016-12-28',905,4,1105,10,1080,4,0,0,0,0,0,0
'2016-12-29',905,6,1105,13,1195,3,0,0,0,0,0,0
'2016-12-30',829,7,1015,10,1195,3,0,0,0,0,0,0
'2016-12-31',905,4,1105,12,975,5,0,0,0,0,0,0
'2017-01-06',0,0,930,5,987,2,0,0,0,0,0,0
'2017-01-07',677,7,975,3,975,3,1070,1,0,0,0,0
'2017-01-08',905,1,1100,2,0,0,0,0,0,0,0,0
'2017-01-09',0,0,775,2,1500,6,0,0,0,0,0,0
'2017-01-10',905,5,1095,9,0,0,1070,1,0,0,0,0
