date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-16',0,0,0,0,895,10,0,0,0,0,0,0
'2016-12-17',0,0,0,0,900,5,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',0,0,0,0,897,4,0,0,1115,2,0,0
'2016-12-21',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-22',0,0,0,0,795,4,1120,2,0,0,0,0
'2016-12-23',0,0,0,0,1062,4,0,0,1115,1,0,0
'2016-12-24',0,0,0,0,0,0,0,0,1140,1,0,0
'2016-12-25',0,0,0,0,0,0,1120,1,0,0,0,0
'2016-12-26',0,0,0,0,0,0,1120,1,0,0,0,0
'2016-12-27',0,0,0,0,847,2,0,0,0,0,0,0
'2016-12-28',0,0,0,0,786,2,0,0,0,0,0,0
'2016-12-29',0,0,0,0,0,0,1120,1,0,0,0,0
'2016-12-30',0,0,0,0,1050,4,0,0,0,0,0,0
'2016-12-31',0,0,0,0,988,2,0,0,0,0,0,0
'2017-01-06',0,0,0,0,1095,5,0,0,0,0,0,0
'2017-01-07',0,0,0,0,820,3,0,0,0,0,0,0
'2017-01-08',0,0,0,0,1200,1,0,0,0,0,0,0
'2017-01-09',0,0,600,1,1200,3,0,0,0,0,0,0
'2017-01-10',0,0,0,0,925,1,0,0,0,0,0,0
'2017-01-11',617,1,0,0,1095,3,0,0,0,0,0,0
