Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
sanfrancisco,,San Francisco,CA,94102,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94103,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94104,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94105,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94107,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94108,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94109,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94110,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94111,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94112,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94114,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94115,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94116,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94117,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94118,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94119,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94120,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94121,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94122,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94123,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94124,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94125,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanfrancisco,,San Francisco,CA,94126,Successful,'2017-01-20',Successful,'2017-01-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
