date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1356,30,1538,50,2100,12,2125,8,0,0,0,0
'2016-12-16',1363,28,1668,31,2100,9,2275,2,1217,1,0,0
'2016-12-17',1387,28,1664,23,2100,33,2490,9,0,0,0,0
'2016-12-18',1425,27,1645,30,2100,7,1850,4,1217,1,0,0
'2016-12-19',1363,28,1608,27,2065,8,2495,7,0,0,0,0
'2016-12-20',1402,25,1596,27,1997,13,2375,4,0,0,0,0
'2016-12-21',1390,60,1604,58,2100,67,2100,21,1217,2,0,0
'2016-12-22',1421,30,1590,31,1950,11,2075,6,0,0,0,0
'2016-12-23',1410,30,1565,44,2021,9,2850,2,1217,1,0,0
'2016-12-24',1410,56,1586,89,1996,14,2125,16,0,0,0,0
