date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',2464,12,3545,4,0,0,0,0,0,0,0,0
'2016-12-16',2375,9,3500,3,0,0,0,0,0,0,0,0
'2016-12-17',2495,8,3590,3,0,0,0,0,0,0,0,0
'2016-12-18',2650,7,4000,5,0,0,0,0,0,0,0,0
'2016-12-19',2347,8,3590,2,0,0,0,0,0,0,0,0
'2016-12-20',2485,7,3200,6,0,0,0,0,0,0,0,0
'2016-12-21',2485,11,3795,4,0,0,0,0,0,0,0,0
'2016-12-22',2400,7,3590,3,0,0,0,0,0,0,0,0
'2016-12-23',2477,6,0,0,0,0,0,0,0,0,0,0
'2016-12-24',2632,4,0,0,0,0,0,0,0,0,0,0
'2016-12-25',2400,10,3590,1,0,0,0,0,0,0,0,0
'2016-12-26',2395,5,4000,1,0,0,0,0,0,0,0,0
'2016-12-27',2557,8,2700,3,0,0,0,0,0,0,0,0
'2016-12-28',2922,6,3177,4,0,0,0,0,0,0,0,0
'2016-12-29',2395,7,2802,1,0,0,0,0,0,0,0,0
'2016-12-30',2222,10,3077,6,0,0,0,0,0,0,0,0
'2016-12-31',2500,7,2727,2,0,0,0,0,0,0,0,0
'2017-01-01',800,3,3300,5,0,0,0,0,0,0,0,0
'2017-01-02',2500,3,0,0,0,0,0,0,0,0,0,0
'2017-01-03',2505,8,3300,5,0,0,0,0,0,0,0,0
'2017-01-04',2500,5,3175,4,0,0,0,0,0,0,0,0
'2017-01-05',2500,7,2600,3,3300,1,0,0,0,0,0,0
'2017-01-06',2455,9,4000,1,0,0,0,0,0,0,0,0
