date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',962,2,0,0,0,0,0,0,0,0,0,0
'2016-12-16',850,1,0,0,1437,1,0,0,0,0,0,0
'2016-12-17',0,0,1200,3,0,0,0,0,0,0,0,0
'2016-12-18',962,2,0,0,0,0,0,0,0,0,0,0
'2016-12-19',850,1,1200,1,0,0,0,0,0,0,0,0
'2016-12-20',0,0,898,1,0,0,0,0,0,0,0,0
'2016-12-21',800,1,0,0,0,0,0,0,0,0,0,0
'2016-12-22',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-23',0,0,1000,2,0,0,0,0,0,0,0,0
'2016-12-24',800,1,0,0,0,0,0,0,0,0,0,0
'2016-12-25',850,1,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,1000,1,0,0,0,0,0,0,0,0
'2016-12-27',800,1,0,0,0,0,0,0,0,0,0,0
'2016-12-28',850,1,0,0,0,0,0,0,0,0,0,0
'2016-12-29',708,1,0,0,0,0,0,0,0,0,0,0
'2016-12-30',800,3,1000,1,0,0,0,0,0,0,0,0
'2016-12-31',0,0,0,0,0,0,0,0,0,0,0,0
