date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1175,8,1375,5,0,0,0,0,0,0,0,0
'2016-12-16',1337,6,1407,6,2322,4,0,0,0,0,0,0
'2016-12-17',1280,3,1520,4,1692,2,0,0,0,0,0,0
'2016-12-18',1316,2,1278,4,1534,1,0,0,0,0,0,0
'2016-12-19',1160,1,1280,1,2350,1,0,0,0,0,0,0
'2016-12-20',1321,5,1425,4,1534,1,0,0,0,0,0,0
'2016-12-21',1275,3,1478,6,1534,1,0,0,0,0,0,0
'2016-12-22',1316,2,1650,5,1692,2,2295,1,0,0,0,0
'2016-12-23',1147,4,1375,10,2200,3,0,0,0,0,0,0
'2016-12-24',1175,3,1374,5,0,0,0,0,0,0,0,0
'2016-12-25',1175,1,1512,4,1584,2,2395,2,0,0,0,0
