date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1450,2,2060,3,0,0,0,0,0,0,0,0
'2016-12-16',1350,5,2150,3,0,0,0,0,0,0,0,0
'2016-12-17',1340,6,2090,3,2700,2,0,0,0,0,0,0
'2016-12-18',1340,4,1548,1,2575,2,0,0,0,0,0,0
'2016-12-19',1350,3,1499,1,2650,1,0,0,0,0,0,0
'2016-12-20',1545,4,2105,7,2925,1,0,0,0,0,0,0
'2016-12-21',1350,7,1821,4,0,0,0,0,0,0,0,0
'2016-12-22',1350,6,1741,4,0,0,0,0,0,0,0,0
'2016-12-23',1350,3,0,0,0,0,0,0,0,0,0,0
'2016-12-24',1625,6,2120,5,0,0,0,0,0,0,0,0
'2016-12-25',1350,1,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',1350,2,2300,2,2750,2,0,0,0,0,0,0
'2016-12-28',1350,6,1737,2,0,0,0,0,0,0,0,0
'2016-12-29',1502,6,2015,4,2865,1,0,0,0,0,0,0
'2016-12-30',1350,4,2022,4,0,0,0,0,0,0,0,0
'2016-12-31',1350,3,1748,3,0,0,0,0,0,0,0,0
