date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1400,1,1374,5,2000,3,2245,3,2900,2,0,0
'2016-12-16',1565,2,1374,4,2295,1,1947,2,2375,2,0,0
'2016-12-17',850,3,660,1,1895,5,2100,1,2900,2,0,0
'2016-12-18',1107,2,1565,4,1970,1,2045,4,2375,2,0,0
'2016-12-19',1157,2,1565,2,2000,3,2100,2,0,0,0,0
'2016-12-20',0,0,1374,9,1952,5,2295,1,2800,3,0,0
'2016-12-21',1122,2,1374,5,1985,5,1972,4,2500,1,2500,1
'2016-12-22',1400,3,1679,2,1908,4,2100,3,2900,2,0,0
'2016-12-23',1595,1,1595,3,1900,5,1932,2,2375,2,0,0
'2016-12-24',1122,2,1630,1,2087,4,2245,3,2800,1,0,0
'2016-12-25',945,2,1300,2,2200,1,2100,5,3000,1,0,0
'2016-12-26',0,0,0,0,1650,1,1845,1,0,0,0,0
