date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1800,41,2187,48,3300,9,4900,1,0,0,7000,1
'2016-12-16',1887,45,2337,32,3650,11,0,0,0,0,2725,1
'2016-12-17',1807,33,2650,42,3300,7,4425,4,0,0,7300,1
'2016-12-18',1750,43,2600,29,2900,4,0,0,0,0,0,0
'2016-12-19',1752,26,2122,34,2645,3,4197,2,0,0,2725,1
'2016-12-20',1850,101,2400,78,2900,26,0,0,0,0,7000,2
'2016-12-21',1697,32,2400,31,3397,6,5000,1,0,0,7000,1
'2016-12-22',1850,99,1850,78,3065,20,0,0,0,0,4862,4
'2016-12-23',1850,45,2500,40,2900,9,3200,1,6000,1,0,0
'2016-12-24',1812,44,2550,29,3245,4,0,0,0,0,0,0
'2016-12-25',1650,17,2300,19,2200,5,0,0,0,0,2725,1
'2016-12-26',1735,17,2487,14,532,4,3200,1,0,0,0,0
'2016-12-27',1850,40,2315,25,3500,3,3495,1,0,0,7000,1
'2016-12-28',1745,99,1850,76,3100,22,0,0,0,0,2725,4
'2016-12-29',1650,118,1850,79,3495,22,4295,1,6000,3,7000,2
'2016-12-30',1907,86,2480,86,3595,21,4000,6,6,2,0,0
'2016-12-31',1830,41,2600,29,3425,8,4647,2,0,0,2725,2
'2017-01-01',1700,27,3067,8,2279,4,3495,1,0,0,0,0
'2017-01-02',1635,19,2550,17,3050,6,0,0,6000,1,5200,1
'2017-01-03',1830,43,2325,28,3450,6,3495,1,2700,1,0,0
'2017-01-04',1895,91,1999,107,3500,25,4990,7,0,0,2725,3
'2017-01-05',1700,81,1862,100,3450,17,4022,4,5500,2,7000,2
'2017-01-06',1950,113,2445,64,2975,16,4000,5,0,0,6100,4
