date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-11',1193,12,1625,7,1925,4,0,0,0,0,0,0
'2016-12-13',1282,7,1511,8,2100,5,2387,4,0,0,0,0
'2016-12-14',1186,5,1535,6,2100,5,1525,1,0,0,0,0
'2016-12-15',1400,11,1845,7,1725,3,2450,1,0,0,0,0
'2016-12-16',1500,8,1567,9,1795,3,2122,2,0,0,0,0
'2016-12-17',1240,7,1595,7,1810,6,1810,2,0,0,0,0
'2016-12-18',1199,5,1860,2,1795,3,2450,1,0,0,0,0
'2016-12-19',1660,7,1845,3,0,0,2185,2,0,0,0,0
'2016-12-20',1240,13,1700,5,1855,5,1625,1,0,0,0,0
'2016-12-21',1247,5,1521,6,1737,5,3150,4,0,0,0,0
'2016-12-22',1228,8,1535,5,2100,4,2185,2,0,0,0,0
'2016-12-23',1455,8,1667,8,1850,6,2447,2,0,0,0,0
'2016-12-24',1667,12,1900,6,2570,6,2037,2,0,0,0,0
'2016-12-25',1230,9,1600,4,1855,1,2185,2,0,0,0,0
