date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1950,3,0,0,0,0,3450,1,0,0,0,0
'2016-12-16',1837,2,0,0,2900,1,0,0,0,0,0,0
'2016-12-17',1762,4,0,0,3200,1,3450,1,0,0,0,0
'2016-12-18',1950,1,0,0,0,0,0,0,0,0,0,0
'2016-12-19',1950,3,0,0,0,0,0,0,0,0,0,0
'2016-12-20',1950,1,2300,1,3200,1,3750,2,0,0,0,0
'2016-12-21',1675,2,0,0,0,0,0,0,0,0,0,0
'2016-12-22',1950,3,0,0,0,0,4050,1,0,0,0,0
'2016-12-23',1700,1,0,0,3495,1,0,0,0,0,0,0
'2016-12-24',1950,5,2150,1,0,0,4050,1,0,0,0,0
'2016-12-25',0,0,0,0,2900,1,0,0,0,0,0,0
'2016-12-26',1950,3,0,0,0,0,0,0,0,0,0,0
