date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1595,22,2450,7,2697,8,0,0,5000,1,3850,2
'2016-12-16',1595,26,2625,8,3000,2,0,0,0,0,0,0
'2016-12-17',1595,43,2000,19,2850,7,2800,2,5295,1,0,0
'2016-12-18',1540,10,1950,8,2625,6,3800,3,0,0,0,0
'2016-12-19',1595,42,1950,16,2795,3,0,0,0,0,0,0
'2016-12-20',1700,19,1972,18,2999,9,3550,1,5000,1,4400,1
'2016-12-21',1550,13,2100,13,2800,4,3700,1,0,0,3850,2
'2016-12-22',1739,10,2200,9,2695,4,0,0,5000,1,0,0
'2016-12-23',1575,13,2646,9,2850,5,3350,2,0,0,0,0
'2016-12-24',1950,7,1950,15,2600,3,3800,1,5000,1,3850,2
'2016-12-25',1675,2,1950,15,3000,1,0,0,0,0,0,0
