date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',933,60,975,51,0,0,0,0,0,0,0,0
'2016-12-16',908,31,979,23,1350,2,0,0,0,0,0,0
'2016-12-17',908,26,977,26,0,0,1480,2,0,0,0,0
'2016-12-18',933,14,977,12,0,0,0,0,0,0,0,0
'2016-12-19',1225,2,1500,1,1900,1,1900,1,0,0,0,0
'2016-12-20',875,5,1050,7,1350,2,976,1,0,0,0,0
'2016-12-21',804,1,1364,1,0,0,0,0,0,0,0,0
'2016-12-22',1225,2,1364,3,0,0,976,1,0,0,0,0
'2016-12-23',950,5,925,1,1350,2,0,0,0,0,0,0
'2016-12-24',835,2,1050,5,0,0,0,0,0,0,0,0
'2016-12-25',1225,3,1364,1,0,0,976,1,0,0,0,0
