date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1629,1,2550,1,3860,1,0,0,0,0,0,0
'2016-12-16',2300,1,2480,2,0,0,0,0,0,0,0,0
'2016-12-17',1629,1,2480,2,3030,2,0,0,0,0,0,0
'2016-12-18',1964,2,2410,1,0,0,0,0,0,0,0,0
'2016-12-19',1629,1,2480,2,3030,2,0,0,0,0,0,0
'2016-12-20',2270,2,2550,1,0,0,0,0,0,0,0,0
'2016-12-21',1964,2,2410,1,0,0,0,0,0,0,0,0
'2016-12-22',1439,2,2410,3,2200,3,0,0,0,0,0,0
'2016-12-23',1629,1,2480,2,2200,1,0,0,0,0,0,0
'2016-12-24',1964,2,2550,1,0,0,0,0,0,0,0,0
'2016-12-25',2300,1,2480,2,3030,2,0,0,0,0,0,0
'2016-12-26',0,0,0,0,2200,1,0,0,0,0,0,0
'2016-12-27',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-28',1629,6,2480,4,0,0,3500,2,0,0,0,0
'2016-12-29',1785,1,2550,1,3030,2,0,0,0,0,0,0
'2016-12-30',1707,2,2410,1,0,0,0,0,0,0,0,0
'2016-12-31',2300,1,2055,4,3860,1,0,0,0,0,0,0
'2017-01-01',1629,1,0,0,0,0,0,0,0,0,0,0
'2017-01-02',0,0,0,0,2200,1,0,0,0,0,0,0
'2017-01-03',1964,2,2410,1,3860,1,0,0,0,0,0,0
