date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1475,5,1550,2,3095,2,2795,1,1050,1,0,0
'2016-12-16',1475,1,1279,5,0,0,0,0,0,0,0,0
'2016-12-17',1475,1,1770,1,1920,3,3295,2,0,0,0,0
'2016-12-18',1495,1,1600,1,0,0,0,0,1050,1,0,0
'2016-12-19',0,0,1499,1,0,0,0,0,0,0,0,0
'2016-12-20',1485,2,1279,5,2157,4,2795,1,1050,1,0,0
'2016-12-21',995,1,1279,3,1990,1,0,0,0,0,0,0
'2016-12-22',1475,4,1279,3,2395,1,3295,2,0,0,0,0
'2016-12-23',1245,2,1279,4,1920,2,0,0,0,0,0,0
'2016-12-24',1475,3,1460,1,2395,1,3795,1,1050,1,0,0
'2016-12-25',0,0,1499,1,0,0,0,0,0,0,0,0
'2016-12-26',0,0,1770,1,0,0,0,0,0,0,0,0
'2016-12-27',1450,1,1460,1,2157,2,3795,1,0,0,0,0
'2016-12-28',1475,5,1279,4,0,0,0,0,0,0,0,0
'2016-12-29',995,3,1369,4,3095,2,3000,1,1050,1,0,0
'2016-12-30',1082,5,1770,3,1600,1,0,0,0,0,0,0
'2016-12-31',1475,4,1279,1,2395,1,3397,2,0,0,0,0
'2017-01-01',0,0,1279,1,1524,1,0,0,0,0,0,0
'2017-01-02',0,0,1535,2,1920,1,0,0,0,0,0,0
'2017-01-03',995,2,1615,2,0,0,0,0,0,0,0,0
'2017-01-04',1082,7,1195,1,0,0,0,0,0,0,0,0
'2017-01-05',1082,5,1279,3,1920,3,3397,2,0,0,0,0
'2017-01-06',1082,3,1460,3,0,0,0,0,0,0,0,0
'2017-01-07',1278,6,1279,1,3095,2,3000,1,0,0,0,0
'2017-01-08',0,0,1380,2,1528,2,0,0,0,0,0,0
'2017-01-09',0,0,0,0,1920,1,0,0,0,0,0,0
'2017-01-10',1475,8,1237,2,2395,1,3397,2,0,0,0,0
'2017-01-11',1475,5,0,0,1528,2,0,0,0,0,0,0
