date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1950,93,2370,47,2972,10,5200,6,3500,1,5800,2
'2016-12-16',1920,163,2489,64,3000,21,5500,10,0,0,7300,2
'2016-12-17',1999,187,2499,68,2700,11,4900,7,3500,1,0,0
'2016-12-18',1950,150,2275,59,2900,9,4500,2,6650,10,8000,2
'2016-12-19',1999,140,2418,52,3200,11,4500,5,0,0,0,0
'2016-12-20',1995,156,2800,88,3045,12,4500,9,3500,1,7700,5
'2016-12-21',1900,164,2599,67,2775,4,0,0,3595,2,0,0
'2016-12-22',1999,159,2605,86,3100,18,4200,5,3500,1,0,0
'2016-12-23',1985,136,2688,86,3045,9,4500,5,0,0,2900,2
'2016-12-24',1925,168,2699,62,2995,9,4500,2,3500,1,0,0
'2016-12-25',1920,43,2450,25,2950,7,3175,1,0,0,6,1
'2016-12-26',1950,37,2311,19,2572,6,4500,1,3595,1,0,0
'2016-12-27',1999,130,2699,69,5990,7,3750,4,3500,1,2900,1
'2016-12-28',1850,181,2392,74,2645,22,4200,8,0,0,7300,4
'2016-12-29',1999,145,2515,85,3200,14,5950,6,3547,2,7450,4
'2016-12-30',1950,147,2418,93,4075,4,4500,7,6800,2,2900,1
'2016-12-31',1800,134,2400,86,2900,13,3650,5,6150,11,0,0
