date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1549,7,1786,4,2339,2,0,0,0,0,3600,1
'2016-12-16',1549,5,2375,4,1500,1,0,0,0,0,0,0
'2016-12-17',1750,44,2222,2,2400,3,0,0,0,0,0,0
'2016-12-18',1750,35,2225,4,2600,2,0,0,0,0,0,0
'2016-12-19',1750,24,2755,3,1500,1,0,0,0,0,0,0
'2016-12-20',1750,26,1721,6,2400,3,0,0,0,0,2900,1
'2016-12-21',1750,27,2550,1,2400,1,0,0,0,0,0,0
'2016-12-22',1750,39,2320,2,2400,3,0,0,0,0,0,0
'2016-12-23',1750,32,2200,3,2400,2,0,0,0,0,2900,1
'2016-12-24',1630,4,2595,1,2612,2,0,0,0,0,0,0
'2016-12-25',1487,4,1225,2,0,0,0,0,0,0,0,0
'2016-12-26',1337,2,0,0,2400,1,0,0,0,0,0,0
'2016-12-27',1550,5,2550,1,2550,2,0,0,0,0,2900,1
'2016-12-28',1572,8,1895,4,2525,2,0,0,0,0,0,0
'2016-12-29',1825,4,1730,4,2475,4,0,0,0,0,0,0
'2016-12-30',1598,5,2200,3,2400,2,0,0,0,0,2900,1
'2016-12-31',1606,7,2600,4,2700,1,0,0,0,0,0,0
'2017-01-01',1975,1,2725,1,0,0,0,0,0,0,0,0
'2017-01-02',1573,6,2187,2,0,0,0,0,0,0,2900,1
'2017-01-03',1830,2,2112,2,0,0,0,0,0,0,0,0
'2017-01-04',1672,14,1950,3,2700,2,0,0,0,0,3600,1
'2017-01-05',1750,10,2000,2,2250,2,0,0,0,0,0,0
'2017-01-06',1598,16,2905,3,0,0,0,0,0,0,0,0
'2017-01-07',1649,8,2600,1,2386,2,0,0,0,0,0,0
'2017-01-08',1750,9,1550,1,1500,1,0,0,4200,1,0,0
'2017-01-09',1549,10,2595,1,2575,1,0,0,0,0,0,0
'2017-01-10',1750,18,1925,6,2250,1,0,0,0,0,3600,1
'2017-01-11',1549,10,2100,3,1950,2,0,0,0,0,0,0
