date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1523,39,1580,43,1947,11,1850,7,0,0,0,0
'2016-12-16',1476,24,1595,31,1927,11,2025,2,0,0,0,0
'2016-12-17',1503,17,1724,23,2050,10,2000,5,0,0,0,0
'2016-12-18',1421,28,1553,23,2100,8,1850,5,1995,1,0,0
'2016-12-19',1336,21,1539,25,2050,6,1850,4,2495,1,0,0
'2016-12-20',1428,23,1577,28,1943,10,2425,2,0,0,0,0
'2016-12-21',1358,22,1590,27,2050,14,2000,7,0,0,0,0
'2016-12-22',1471,24,1605,31,1850,14,2075,6,0,0,0,0
'2016-12-23',1408,29,1543,36,2050,8,2500,3,0,0,0,0
'2016-12-24',1423,25,1544,44,1938,8,1850,5,1995,2,0,0
'2016-12-25',1385,21,1608,30,1927,5,1712,2,0,0,0,0
'2016-12-26',1418,14,1636,20,2013,4,2100,6,0,0,0,0
'2016-12-27',1372,22,1539,32,1913,10,1900,8,0,0,0,0
'2016-12-28',1419,33,1616,33,1927,7,2497,3,0,0,0,0
'2016-12-29',1336,25,1649,34,2000,9,2025,8,0,0,0,0
'2016-12-30',1428,20,1608,23,1927,6,2200,8,0,0,0,0
'2016-12-31',1379,26,1600,30,2025,10,2175,2,0,0,0,0
'2017-01-01',1423,18,1608,21,2100,10,1850,1,0,0,0,0
'2017-01-02',1333,17,1649,18,2100,7,2575,4,1550,1,0,0
'2017-01-03',1428,21,1636,24,1927,11,1850,4,0,0,0,0
'2017-01-04',1333,25,1555,37,1900,9,2500,4,1550,1,0,0
'2017-01-05',1403,26,1608,25,1927,14,2200,5,0,0,0,0
'2017-01-06',1408,19,1600,39,1927,7,1975,2,0,0,0,0
