date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1678,21,2565,15,3207,6,0,0,3500,3,0,0
'2016-12-16',1665,17,2579,13,3165,3,4500,2,0,0,0,0
'2016-12-17',1684,18,2397,13,3315,8,4600,2,4362,2,0,0
'2016-12-18',1825,11,2565,9,3425,2,4400,1,0,0,0,0
'2016-12-19',1700,29,2460,13,3157,4,4650,2,5225,1,0,0
'2016-12-20',1642,14,2545,9,3455,3,4500,2,5225,3,0,0
'2016-12-21',1625,19,2507,14,3560,2,3437,2,5225,2,0,0
'2016-12-22',1722,20,2491,14,3202,4,4050,2,4362,2,0,0
'2016-12-23',1657,22,2476,8,2425,2,3500,1,5225,2,0,0
'2016-12-24',1790,17,2442,14,3315,3,3125,1,4362,2,0,0
'2016-12-25',1700,11,2950,4,3455,3,4050,2,0,0,0,0
