date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-19',1505,3,1505,5,2190,3,3200,1,0,0,0,0
'2016-12-20',1510,4,1505,4,0,0,0,0,0,0,0,0
'2016-12-21',1300,6,1502,6,2000,1,3200,1,0,0,0,0
'2016-12-22',1520,3,1505,10,0,0,1650,1,0,0,0,0
'2016-12-23',1340,8,1550,8,0,0,3200,1,0,0,0,0
'2016-12-24',1485,4,1479,4,0,0,0,0,0,0,0,0
'2016-12-25',1389,7,1450,5,2250,1,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,3200,1,0,0,0,0
'2016-12-27',1502,2,1920,3,0,0,0,0,0,0,0,0
'2016-12-28',1320,7,1700,3,1950,5,0,0,0,0,0,0
'2016-12-29',1375,9,1550,5,0,0,2425,2,0,0,0,0
'2016-12-30',1367,6,1479,10,1795,1,0,0,0,0,0,0
'2016-12-31',1620,2,1592,4,0,0,0,0,0,0,0,0
